DeviceType,NodeId,Position x,Position y,DistanceToClosestGW,DataRateIndex
0,0,0,0
1,1,1133.7,-938.335,1471.65,5
2,1,-2348.72,-1287.8,2678.6,3
3,1,-1148.24,1054,1558.64,5
4,1,2523.01,259.788,2536.35,3
5,1,-645.944,2093.96,2191.32,3
6,1,-2015.8,-1709.26,2642.92,3
7,1,-902.595,-177.947,919.969,5
8,1,-2324.9,-105.208,2327.28,3
9,1,1452.33,89.3094,1455.07,5
10,1,-1397.45,2370.88,2752.08,2
11,1,1153.76,2303.85,2576.61,3
12,1,-146.005,-1660.81,1667.21,5
13,1,-2324.41,1853.14,2972.71,2
14,1,1378,-1245.13,1857.21,4
15,1,579.974,1191.07,1324.77,5
16,1,-766.086,-1321.48,1527.48,5
17,1,-1271.76,-663.459,1434.42,5
18,1,-2032.9,73.0039,2034.22,4
19,1,1463.93,-1342.81,1986.51,4
20,1,1196.21,-1179.39,1679.84,5
21,1,2602.36,-955.171,2772.11,2
22,1,-2607.17,1239.73,2886.92,2
23,1,-850.095,1455.95,1685.95,5
24,1,710.947,2153.33,2267.66,3
25,1,506.856,-2943.71,2987.02,2
26,1,-688.859,-488.921,844.731,5
27,1,-58.9273,-1714.84,1715.86,5
28,1,-2820.79,383.756,2846.77,2
29,1,-1276.15,-1580.77,2031.6,4
30,1,433.818,2279.54,2320.45,3
31,1,-2551.24,-1386.36,2903.59,2
32,1,-1099.58,1717.72,2039.52,4
33,1,-1371.76,1221.2,1836.58,4
34,1,-1085.17,-1334.02,1719.65,5
35,1,-1630.25,1630.55,2305.73,3
36,1,98.0689,-2426.2,2428.18,3
37,1,1192.59,-1233.82,1715.98,5
38,1,788.097,2886.7,2992.35,2
39,1,-564.769,1601.3,1697.98,5
40,1,578.982,-75.966,583.945,5
41,1,302.404,2118.7,2140.17,4
42,1,1568.96,-409.378,1621.49,5
43,1,-891.713,-1689.14,1910.06,4
44,1,2454.71,1680.86,2975.05,2
45,1,-2143.55,344.929,2171.12,3
46,1,372.324,-1657.47,1698.77,5
47,1,-994.485,-690.416,1210.65,5
48,1,-0.858401,1498.62,1498.62,5
49,1,486.548,-1811.22,1875.43,4
50,1,2298.34,-352.236,2325.17,3
51,1,673.934,1534.6,1676.06,5
52,1,-1983.5,-316.957,2008.66,4
53,1,708.575,-360.276,794.907,5
54,1,1469.57,2426.74,2837.02,2
55,1,-2285.33,1658.35,2823.63,2
56,1,1076.5,2395.91,2626.64,3
57,1,-152.463,2223.41,2228.63,3
58,1,-1344.48,-1205.99,1806.11,4
59,1,-570.992,2235.47,2307.24,3
60,1,2527.63,974.986,2709.15,2
61,1,955.166,1551.62,1822.05,4
62,1,-1375.4,1896.11,2342.43,3
63,1,-2859.79,-217.935,2868.08,2
64,1,1020.11,-2470.96,2673.25,3
65,1,462.927,-2668.92,2708.77,2
66,1,2286.48,848.278,2438.77,3
67,1,-1389.48,50.654,1390.4,5
68,1,-847.065,1052.88,1351.32,5
69,1,-1685.91,694.849,1823.49,4
70,1,788.732,-1732.32,1903.43,4
71,1,-1127.21,-2334.76,2592.63,3
72,1,-84.8551,-419.044,427.549,5
73,1,-2003.43,1390.84,2438.89,3
74,1,614.377,-1092.88,1253.74,5
75,1,-331.139,-2727.32,2747.34,2
76,1,1993.61,-1648.9,2587.16,3
77,1,1955.98,-617.444,2051.12,4
78,1,-419.444,2802.78,2834,2
79,1,-1635.61,-2470.1,2962.54,2
80,1,-1930.84,-944.998,2149.69,4
81,1,1730.3,81.8521,1732.24,5
82,1,-1452.37,-1098.2,1820.83,4
83,1,525.815,-234.586,575.771,5
84,1,-2161.14,958.021,2363.97,3
85,1,-360.674,258.439,443.707,5
86,1,97.1099,1111.93,1116.16,5
87,1,-1297.96,1078.27,1687.41,5
88,1,806.03,-2108.01,2256.85,3
89,1,425.291,2109.07,2151.52,4
90,1,2217.46,-1467.98,2659.34,3
91,1,-555.859,-1001.22,1145.17,5
92,1,-396.144,-1001.95,1077.42,5
93,1,-1994.33,-274.579,2013.14,4
94,1,135.593,46.9847,143.503,5
95,1,-504.847,669.321,838.368,5
96,1,-1248.79,-1937.75,2305.29,3
97,1,1077.94,382.65,1143.84,5
98,1,-1837.12,649.609,1948.59,4
99,1,-997.608,942.38,1372.33,5
100,1,38.6701,-600.658,601.901,5
101,1,-1230.47,272.387,1260.26,5
102,1,-90.2819,-622.084,628.601,5
103,1,1651.32,1884.74,2505.81,3
104,1,-2482.32,336.348,2505,3
105,1,-787.548,2615.24,2731.25,2
106,1,-1896.33,2097.76,2827.83,2
107,1,-1391.24,9.29438,1391.27,5
108,1,-588.044,-2599.11,2664.8,3
109,1,2296.91,-872.133,2456.91,3
110,1,496.401,1187.97,1287.51,5
111,1,-1626.13,816.103,1819.43,4
112,1,1870.96,1548.44,2428.61,3
113,1,-1489.04,-1474.66,2095.68,4
114,1,-1187.41,163.682,1198.64,5
115,1,936.78,-556.033,1089.37,5
116,1,1481.06,851.116,1708.19,5
117,1,1423.59,-1722.03,2234.28,3
118,1,1207.5,-1593.22,1999.1,4
119,1,-1694.81,917.61,1927.27,4
120,1,304.11,2945.02,2960.68,2
121,1,1038.85,-279.399,1075.76,5
122,1,-1385.55,194.5,1399.13,5
123,1,-330.115,-2084.12,2110.1,4
124,1,-2445.39,40.9257,2445.73,3
125,1,1784.03,-1002.2,2046.26,4
126,1,-133.573,-335.278,360.906,5
127,1,1377.55,92.3784,1380.64,5
128,1,1036.81,1924.88,2186.35,3
129,1,-468.503,1421.7,1496.9,5
130,1,-217.483,85.3019,233.613,5
131,1,1903.13,-1568.19,2466,3
132,1,-146.644,-733.907,748.414,5
133,1,-465.081,721.917,858.758,5
134,1,32.006,-751.302,751.984,5
135,1,2383.98,614.09,2461.8,3
136,1,-724.355,2765.61,2858.89,2
137,1,1525.94,-893.164,1768.12,4
138,1,-752.483,2159.1,2286.47,3
139,1,577.014,1350.46,1468.57,5
140,1,21.6032,-957.325,957.568,5
141,1,1422.68,-252.252,1444.87,5
142,1,636.989,-1322.49,1467.91,5
143,1,-1150.5,1847.3,2176.27,3
144,1,2011.39,-2066.74,2883.93,2
145,1,2214.45,-381.319,2247.04,3
146,1,-1313.39,2295.84,2644.97,3
147,1,426.779,-1130.82,1208.67,5
148,1,1764.91,61.5795,1765.99,4
149,1,-841.467,-451.722,955.049,5
150,1,1076.17,-2104.44,2363.64,3
151,1,-2539.9,757.669,2650.5,3
152,1,-1716.56,481.148,1782.71,4
153,1,1453.05,2128.56,2577.23,3
154,1,-2646.52,914.886,2800.19,2
155,1,237.285,-2868.3,2878.09,2
156,1,118.129,-1510.69,1515.3,5
157,1,-2416.41,1561.55,2877.06,2
158,1,703.92,2547.01,2642.49,3
159,1,142.845,2253.02,2257.55,3
160,1,-221.878,289.267,364.562,5
161,1,-817.874,-290.243,867.847,5
162,1,-456.083,-1437.91,1508.51,5
163,1,1670.23,-2300.65,2843,2
164,1,763.99,784.641,1095.15,5
165,1,1565.02,-1443.91,2129.36,4
166,1,488.389,-1023.81,1134.33,5
167,1,-1463.36,-2508.61,2904.23,2
168,1,374.276,2750.24,2775.59,2
169,1,740.845,-756.923,1059.14,5
170,1,32.2688,-2927.68,2927.86,2
171,1,-849.423,-2664.49,2796.61,2
172,1,-1614.74,-1459.68,2176.71,3
173,1,-2329.96,1029.57,2547.3,3
174,1,2506.43,-1061.2,2721.82,2
175,1,-1365.39,-316.385,1401.56,5
176,1,-906.62,1325.82,1606.16,5
177,1,-729.658,-2848.27,2940.25,2
178,1,-879.862,-2495.79,2646.35,3
179,1,-501.389,2198.37,2254.82,3
180,1,-1926.15,532.359,1998.36,4
181,1,422.105,2907.45,2937.93,2
182,1,-2279.13,-1919.24,2979.58,2
183,1,-667.05,-649.889,931.296,5
184,1,-813.574,2092.73,2245.32,3
185,1,2673.01,1028.23,2863.96,2
186,1,-1326.49,2592.93,2912.54,2
187,1,580.699,-1132.52,1272.72,5
188,1,2843.19,-533.001,2892.72,2
189,1,-1829.84,91.1232,1832.11,4
190,1,2367.32,1193.18,2651.02,3
191,1,-518.478,1991.68,2058.06,4
192,1,1077.55,259.241,1108.3,5
193,1,-2.47592,-1851,1851,4
194,1,1057.69,1685.76,1990.1,4
195,1,-1253.52,648.49,1411.33,5
196,1,1451.31,-961.541,1740.94,4
197,1,-967.194,-2426.77,2612.41,3
198,1,-1578.69,-803.293,1771.31,4
199,1,1223.36,-2573.36,2849.35,2
200,1,1772.57,-1864.5,2572.62,3
